uur;W
7:00;0
7:20;0.3125
7:40;0.46875
8:00;0.546875
8:20;0.6640625
8:40;0.921875
9:00;1.953125
9:20;5
9:40;9.375
10:00;11.1328125
10:20;12.5
10:40;13.28125
11:00;14.84375
11:20;15.625
11:40;16.015625
12:00;4.4921875
12:20;5.46875
12:40;9.765625
13:00;6.25
13:20;14.84375
13:40;16.40625
14:00;17.578125
14:20;17.1875
14:40;17.3828125
15:00;16.40625
15:20;14.84375
15:40;12.5
16:00;3.7109375
16:20;5.46875
16:40;6.25
17:00;2.34375
17:20;2.9296875
17:40;1.953125
18:00;1.6015625
18:20;1.40625
18:40;0.78125
19:00;0.703125
19:20;0.6640625
19:40;0.1953125
20:00;0.0
