year;CO2 ppm;methane ppb;N2O ppb
-797446;;399.0;
-796562;191.0;;
-796475;;;254.0
-796467;;458.0;
-795327;;396.0;
-795149;188.4;;
-794517;189.3;;
-794430;;;249.0
-794370;;418.0;
-793252;195.2;;
-792988;;428.0;
-792658;199.4;;
-792569;;;239.0
-792450;;420.0;
-791646;;451.0;
-791310;209.0;;
-790993;204.0;;
-790916;;;239.0
-790877;;470.0;
-790131;205.1;;
-790045;;466.0;
-789541;215.4;;
-789474;;;250.0
-789427;;503.0;
-788740;;483.0;
-788588;221.3;;
-788203;218.2;;
-788110;;;253.0
-788088;;540.0;
-787431;226.3;;
-787312;;543.0;
-786937;229.5;;
-786882;;;253.0
-786865;;562.0;
-786173;;589.0;
-786083;247.9;;
-785855;248.1;;
-785730;;;266.0
-785723;;659.0;
-785126;256.9;;
-784988;;713.0;
-784699;;699.0;
-784637;260.3;;
-784590;;739.0;
-784579;;;303.0
-784540;;723.0;
-784010;;677.0;
-783839;255.4;;
-783463;253.3;;
-783436;;686.0;
-783424;;;282.0
-782742;250.7;;
-782690;;639.0;
-782197;246.9;;
-782158;;653.0;
-782151;;;269.0
-781478;;618.0;
-781313;252.1;;
-780901;;639.0;
-780880;;;270.0
-780109;246.2;;
-780007;;623.0;
-779683;;633.0;
-779646;;;280.0
-779585;248.7;;
-778795;;630.0;
-778662;242.8;;
-778318;248.5;;
-778158;;;254.0
-778145;;616.0;
-777414;243.9;;
-777333;;598.0;
-776848;245.8;;
-776810;;614.0;
-776797;;;254.0
-776082;;681.0;
-775950;246.1;;
-775606;246.3;;
-775460;;658.0;
-775440;;;269.0
-774686;243.9;;
-774605;;601.0;
-774087;238.8;;
-774044;;618.0;
-774034;;;273.0
-773296;;577.0;
-773101;240.5;;
-772598;236.9;;
-772575;;583.0;
-772548;;;260.0
-771730;233.3;;
-771682;;549.0;
-771093;230.0;;
-771049;;566.0;
-771046;;;271.0
-770249;;530.0;
-770126;230.9;;
-770082;;;247.0
-770064;;539.0;
-769885;;;267.0
-769879;;543.0;
-769758;229.5;;
-769596;;;260.0
-769591;;556.0;
-769310;237.7;;
-769258;;;275.0
-769255;;639.0;
-769044;235.6;;
-768987;;;271.0
-768981;;647.0;
-768774;238.2;;
-768652;;632.0;
-768497;235.6;;
-768353;;;271.0
-768344;;630.0;
-768183;231.5;;
-768130;;622.0;283.0
-767837;226.0;;
