Tijd (s);Hoogte (m)
-10;3450
-9.8;3450.023271
-9.6;3450.049338
-9.4;3450.077602
-9.2;3450.107356
-9;3450.137815
-8.8;3450.168153
-8.6;3450.197537
-8.4;3450.225163
-8.2;3450.250294
-8;3450.272296
-7.8;3450.290664
-7.6;3450.305051
-7.4;3450.31528
-7.2;3450.321358
-7;3450.323473
-6.8;3450.321987
-6.6;3450.317422
-6.4;3450.31043
-6.2;3450.301768
-6;3450.29226
-5.8;3450.282755
-5.6;3450.274091
-5.4;3450.267055
-5.2;3450.262337
-5;3450.260508
-4.8;3450.261984
-4.6;3450.267008
-4.4;3450.27564
-4.2;3450.28775
-4;3450.303028
-3.8;3450.320993
-3.6;3450.341021
-3.4;3450.362371
-3.2;3450.384221
-3;3450.405706
-2.8;3450.425959
-2.6;3450.444151
-2.4;3450.459528
-2.2;3450.471449
-2;3450.479412
-1.8;3450.483075
-1.6;3450.482274
-1.4;3450.477027
-1.2;3450.467531
-1;3450.454151
-0.8;3450.437402
-0.6;3450.417922
-0.4;3450.396443
-0.2;3450.373756
0;3450.350675
0.2;3449.935602
0.4;3449.129851
0.6;3447.935787
0.8;3446.356777
1;3444.397148
1.2;3442.062129
1.4;3439.357801
1.6;3436.291031
1.8;3432.869416
2;3429.101221
2.2;3424.995315
2.4;3420.56111
2.6;3415.808503
2.8;3410.747812
3;3405.389715
3.2;3399.745192
3.4;3393.825463
3.6;3387.641928
3.8;3381.206101
4;3374.529553
4.2;3367.623848
4.4;3360.500479
4.6;3353.170809
4.8;3345.646009
5;3337.937003
5.2;3330.05441
5.4;3322.008498
5.6;3313.809143
5.8;3305.465784
6;3296.987404
6.2;3288.382503
6.4;3279.659088
6.6;3270.824675
6.8;3261.886288
7;3252.850484
7.2;3243.723367
7.4;3234.510623
7.6;3225.217556
7.8;3215.84912
8;3206.409968
8.2;3196.904486
8.4;3187.336834
8.6;3177.710983
8.8;3168.030743
9;3158.299792
9.2;3148.521691
9.4;3138.699897
9.6;3128.837763
9.8;3118.938541
10;3109.005367
10.2;3099.041248
10.4;3089.049042
10.6;3079.031439
10.8;3068.990935
11;3058.929811
11.2;3048.850119
11.4;3038.753661
11.6;3028.641983
11.8;3018.516373
12;3008.377863
12.2;2998.227246
12.4;2988.065089
12.6;2977.891768
12.8;2967.707492
13;2957.512349
13.2;2947.306341
13.4;2937.08943
13.6;2926.86158
13.8;2916.622793
14;2906.373154
14.2;2896.112852
14.4;2885.84221
14.6;2875.561698
14.8;2865.271941
15;2854.973715
15.2;2844.667935
15.4;2834.35564
15.6;2824.037959
15.8;2813.716084
