Tijd (s);Snelheid 1 (m/s);Snelheid 2 (m/s);Versnelling 1 (m/s2);Versnelling 2 (m/s2)
0.0333;0.25361628295;-0.26185652319;-0.0577776085506;0.0126018577804
0.0666;0.251441775108;-0.260712045379;-0.051343023593;-0.0131746694977
0.0999;0.250503303303;-0.261627627628;-0.0540161449404;-0.0378055733411
0.1332;0.247893893894;-0.265289956623;-0.0573002654529;-0.0124109205413
0.1665;0.246520520521;-0.264603269937;-0.0553145181663;0.0660642847274
0.1998;0.244002669336;-0.258423089756;-0.0478106846698;0.0815302010942
0.2331;0.243087087087;-0.256820820821;-0.0322683934073;0.0318865189291
0.2664;0.2424004004;-0.25773640307;-0.0309318327336;0.00801936404205
0.2997;0.240569235903;-0.256591925259;-0.0194755983878;-0.0055371799338
0.333;0.241484818151;-0.257278611945;-0.0183299749533;-0.0274949624299
0.3663;0.239653653654;-0.260483149816;-0.0240580921262;0.00610999165109
0.3996;0.239195862529;-0.258194194194;-0.0131746694977;0.0714105274221
0.4329;0.238966966967;-0.253387387387;-0.00801936404206;0.0758020839213
0.4662;0.238966966967;-0.251785118452;-0.0131746694977;0.0389511967757
0.4995;0.238509175843;-0.251327327327;-0.0299771465381;0.00801936404205
0.5328;0.237364698031;-0.25155622289;-0.0542261759034;-0.0126018577804
0.5661;0.233473473473;-0.252242909576;-0.0423880670794;-0.0221487197352
0.5994;0.23416016016;-0.254074074074;-0.019857472866;-0.00171843515187
0.6327;0.233702369036;-0.253387387387;-0.0349415147547;0.0412424436448
0.666;0.231413413413;-0.249496162829;-0.0374236988629;0.0374236988629
0.6993;0.230497831164;-0.249267267267;-0.0221487197352;-0.00458249373831
0.7326;0.229124457791;-0.252242909576;0.0145112301713;0.013938418454
0.7659;0.232557891225;-0.249953953954;0.0185209121924;0.073128962574
0.7992;0.231642308976;-0.245147147147;-0.0175662259969;0.0775205190732
0.8325;0.231871204538;-0.243544878212;-0.0647277240537;0.0467796235786
0.8658;0.226835502169;-0.242858191525;-0.0935592471573;0.0313137072118
0.8991;0.222486486486;-0.242171504838;-0.039524008493;0.0332230796028
0.9324;0.225004337671;-0.240111444778;-0.00610999165109;0.0259674645171
0.9657;0.224775442109;-0.239882549216;-0.0370418243847;0.00897405023754
0.999;0.222028695362;-0.241027027027;-0.0565174227726;0.033604954081
1.0323;0.218366366366;-0.238509175843;-0.0154659163668;0.0872583182671
1.0656;0.221570904238;-0.234846846847;0.00190937239096;0.155995724342
1.0989;0.222715382049;-0.23004004004;-0.108261414568;0.335667666332
1.1322;0.216764097431;-0.220655321989;-0.331657984311;0.840696663742
1.1655;0.203717050384;-0.190212212212;-0.700739667484;1.86335651634
1.1988;0.179454120787;-0.111243243243;-1.32376787866;3.23447683029
1.2321;0.11811011011;0.0400567233901;-1.95557920283;4.0608532011
1.2654;0.0311297964631;0.203945945946;-2.03042660055;3.53100236261
1.2987;-0.0368521855189;0.301226559893;-1.49790264071;2.15682705283
1.332;-0.070957624291;0.336476476476;-0.829240429396;0.996692388084
1.3653;-0.0844624624625;0.349065732399;-0.35724357435;0.38893915604
1.3986;-0.0897270603937;0.354559225893;-0.0767567701168;0.111889222111
1.4319;-0.0849202535869;0.352499165832;0.0274949624299;0.0143202929322
1.4652;-0.084004671338;0.353643643644;0.00324593306464;-0.00878311299844
1.4985;-0.0856069402736;0.352956956957;-0.0105015481503;-0.0444883767095
1.5318;-0.0860647313981;0.35021021021;0.0103106109112;-0.0601452303154
1.5651;-0.0853780447114;0.347463463463;0.047543372535;-0.0358962009501
1.5984;-0.0824024024024;0.347234567901;0.0696920922702;0.00420061926012
1.6317;-0.0794267600934;0.349065732399;0.0536533641861;0.00897405023753
1.665;-0.0785111778445;0.349065732399;0.0259674645171;-0.0215759080179
1.6983;-0.0782822822823;0.347005672339;0.013747481215;-0.0421971298403
1.7316;-0.0780533867201;0.345861194528;0.0156568536059;-0.0517439917952
1.7649;-0.0775955955956;0.344258925592;0.0309318327336;-0.0710286529439
1.7982;-0.0755355355355;0.33990990991;0.0362780754283;-0.055371799338
1.8315;-0.0757644310978;0.339223223223;0.0538443014252;-0.00649186612928
1.8648;-0.0716443109776;0.340825492159;0.0610999165109;0.00916498747663
1.8981;-0.0704998331665;0.341054387721;0.0385693222975;-0.0101196736721
1.9314;-0.0698131464798;0.339452118785;0.0345596402765;-0.019857472866
1.9647;-0.0688975642309;0.340138805472;0.0444883767095;-0.0414333808839
1.998;-0.0663797130464;0.337392058725;0.0442974394704;-0.0761839583995
