Uitrekking (mm);Kracht (N)
0.000262695;58
0.0019877;63.0638
0.0019877;66.5827
0.0015752;67.6126
0.0014627;69.5866
0.0014252;71.9039
0.0018377;73.9638
0.0023627;76.1953
0.0025502;78.5126
0.0022127;79.8
0.0021002;81.4307
0.0022502;82.6323
0.0022877;83.8339
0.0028502;85.2929
0.0033002;88.2111
0.0033002;89.7559
0.0028127;91.6441
0.0027002;93.4465
0.0027002;95.0772
0.0030377;96.9654
0.0034877;98.5961
0.0039002;100.141
0.0035627;101.686
0.0033377;103.317
0.0034127;104.69
0.0042002;106.578
0.0045002;108.38
0.0042377;110.44
0.0035252;112.414
0.0037502;114.302
0.0042752;116.448
0.0046502;118.508
0.0043877;120.482
0.0041252;122.628
0.0045752;124.945
0.0049127;126.747
0.0048377;128.636
0.0043502;130.438
0.0046877;132.498
0.0049877;134.643
0.0051377;136.961
0.0047627;139.364
0.0052127;141.939
0.0054377;144.342
0.0051752;146.831
0.0047252;149.32
0.0050252;152.152
0.0051752;154.555
0.0052877;156.958
0.0052877;159.533
0.0055877;161.936
0.0054377;164.254
0.0054002;166.914
0.0057002;169.489
0.0058877;171.978
0.0057002;174.81
0.0059252;177.471
0.0057377;180.303
0.0056627;183.565
0.0057752;186.912
0.0057002;190.173
0.0058877;193.607
0.0061127;197.04
0.0063752;200.301
0.0061127;203.563
0.0061127;206.738
0.0064127;210.085
0.0067877;213.518
0.0066377;217.123
0.0064127;220.47
0.0062252;223.732
0.0064502;227.165
0.0067877;230.169
0.0065627;232.744
0.0062627;235.662
0.0066377;238.923
0.0067877;242.013
0.0069752;245.446
0.0067127;249.394
0.0068252;253.428
0.0070127;257.204
0.0067877;260.981
0.0067877;264.929
0.0072377;268.448
0.0070877;271.967
0.0074252;275.743
0.0076502;279.605
0.0073127;283.296
0.0078752;287.501
0.0076502;291.707
0.0075002;295.826
0.0076127;299.946
0.0072377;304.238
0.0077627;308.186
0.0075752;312.219
0.0076502;316.425
0.0080627;320.459
0.0076877;324.493
0.00832519;328.784
0.0079127;332.99
0.0075377;337.281
0.0076127;341.744
0.0074252;346.035
0.0079127;350.241
0.0075377;354.532
0.00810019;358.652
0.0076127;363.029
0.0081377;367.578
0.0080627;372.384
0.0075752;377.448
0.0079877;382.769
0.0076127;388.176
0.0080627;393.927
0.0079502;399.591
0.0078752;405.17
0.0082877;410.92
0.0081377;416.757
0.0084002;422.507
0.0081752;428.601
0.0081752;434.952
0.0082877;441.132
0.0085127;447.225
0.0086252;453.405
0.0090752;459.327
0.0095627;464.991
0.0100502;470.742
0.0106502;476.836
0.0106502;482.843
0.0114377;489.28
0.0111752;496.061
0.0118877;503.27
0.0115502;510.737
0.0127127;518.462
0.0125627;526.272
0.0130127;534.254
0.0126377;542.493
0.0130127;550.561
0.0130877;558.972
0.0128627;567.64
0.0133502;576.566
0.0133127;585.578
0.0139502;594.933
0.0134627;604.804
0.0136127;614.674
0.0133877;624.715
0.0136127;635.186
0.0134627;646.344
0.0136502;657.244
0.0140252;668.659
0.0141752;680.417
0.0143627;692.433
0.0140252;704.019
0.0141002;716.464
0.0141752;728.652
0.0142877;741.354
0.0142502;753.971
0.0145502;767.274
0.0149627;779.976
0.0151127;793.709
0.0148877;806.84
0.0148502;820.487
0.0148502;833.961
0.0149252;848.209
0.0145502;862.027
0.0148127;876.446
0.0149252;890.693
0.0153752;905.455
0.0150002;920.046
0.0148127;935.151
0.0147377;950.257
0.0150002;965.878
0.0146627;980.897
0.0146627;996.518
0.0149252;1011.71
0.0150377;1027.24
0.0153002;1042.44
0.0149252;1058.4
0.0150002;1073.76
0.0150377;1089.81
0.0150377;1105.78
0.0148127;1122.17
0.0152627;1138.39
0.0153002;1155.21
0.0157877;1171.78
0.0154127;1188.77
0.0155252;1205.76
0.0151877;1223.19
0.0155252;1240.61
0.0151127;1258.29
0.0155627;1275.97
0.0156752;1294.08
0.0159752;1312.1
0.0156752;1330.56
0.0157877;1349.35
0.0157877;1368.58
0.0159377;1387.97
