Tijd (s);Kracht (N)
0;-0.012222064
0.02;-0.018333096
0.04;-0.018333096
0.06;-0.006111032
0.08;-0.012222064
0.1;-0.012222064
0.12;-0.006111032
0.14;-0.006111032
0.16;-0.018333096
0.18;-0.012222064
0.2;-0.018333096
0.22;-0.012222064
0.24;-0.012222064
0.26;-0.006111032
0.28;-0.006111032
0.3;-0.006111032
0.32;-0.012222064
0.34;0
0.36;-0.006111032
0.38;-0.012222064
0.4;-0.006111032
0.42;-0.012222064
0.44;0
0.46;0
0.48;-0.006111032
0.5;-0.006111032
0.52;-0.006111032
0.54;-0.006111032
0.56;-0.006111032
0.58;-0.012222064
0.6;-0.012222064
0.62;0
0.64;-0.006111032
0.66;0
0.68;0
0.7;0.012222064
0.72;0.012222064
0.74;0.012222064
0.76;0.018333096
0.78;0.018333096
0.8;0.024444128
0.82;0.054999288
0.84;0.109998576
0.86;0.256663343
0.88;0.690546614
0.9;1.283316716
0.92;1.784421338
0.94;2.041084681
0.96;2.114417065
0.98;2.144972225
1;2.242748737
1.02;2.419968664
1.04;2.688854071
1.06;3.018849798
1.08;3.287735205
1.1;3.593286804
1.12;3.85606118
1.14;3.911060467
1.16;3.959948723
1.18;4.021059043
1.2;3.990503883
1.22;4.008836979
1.24;4.045503171
1.26;4.002725947
1.28;3.972170787
1.3;3.935504595
1.32;3.880505307
1.34;3.801061892
1.36;3.709396412
1.38;3.64217506
1.4;3.599397836
1.42;3.562731644
1.44;3.507732357
1.46;3.483288229
1.48;3.513843389
1.5;3.471066165
1.52;3.397733781
1.54;3.403844813
1.56;3.471066165
1.58;3.458844101
1.6;3.452733069
1.62;3.495510293
1.64;3.526065453
1.66;3.513843389
1.68;3.495510293
1.7;3.501621325
1.72;3.489399261
1.74;3.477177197
1.76;3.483288229
1.78;3.495510293
1.8;3.513843389
1.82;3.513843389
1.84;3.507732357
1.86;3.501621325
1.88;3.519954421
1.9;3.532176485
1.92;3.526065453
1.94;3.501621325
1.96;3.489399261
1.98;3.501621325
2;3.495510293
2.02;3.489399261
2.04;3.477177197
2.06;3.477177197
2.08;3.483288229
2.1;3.471066165
2.12;3.446622037
2.14;3.440511005
2.16;3.464955133
2.18;3.471066165
2.2;3.471066165
2.22;3.471066165
2.24;3.489399261
2.26;3.526065453
2.28;3.526065453
2.3;3.507732357
2.32;3.477177197
2.34;3.477177197
2.36;3.507732357
2.38;3.489399261
2.4;3.464955133
2.42;3.483288229
2.44;3.501621325
2.46;3.519954421
2.48;3.513843389
2.5;3.501621325
2.52;3.489399261
2.54;3.501621325
2.56;3.507732357
2.58;3.477177197
2.6;3.458844101
2.62;3.452733069
2.64;3.477177197
2.66;3.471066165
2.68;3.440511005
2.7;3.416066877
2.72;3.403844813
2.74;3.403844813
2.76;3.385511717
2.78;3.391622749
2.8;3.428288941
2.82;3.422177909
2.84;3.434399973
2.86;3.422177909
2.88;3.428288941
2.9;3.434399973
2.92;3.440511005
2.94;3.452733069
2.96;3.440511005
2.98;3.452733069
3;3.452733069
3.02;3.440511005
3.04;3.440511005
3.06;3.446622037
3.08;3.477177197
3.1;3.513843389
3.12;3.501621325
3.14;3.471066165
3.16;3.440511005
3.18;3.446622037
3.2;3.458844101
3.22;3.458844101
3.24;3.440511005
3.26;3.446622037
3.28;3.495510293
3.3;3.501621325
3.32;3.471066165
3.34;3.452733069
3.36;3.452733069
3.38;3.464955133
3.4;3.464955133
3.42;3.434399973
3.44;3.428288941
3.46;3.434399973
3.48;3.416066877
3.5;3.409955845
3.52;3.422177909
3.54;3.428288941
3.56;3.434399973
3.58;3.428288941
3.6;3.440511005
3.62;3.422177909
3.64;3.409955845
3.66;3.416066877
3.68;3.440511005
3.7;3.446622037
3.72;3.422177909
3.74;3.403844813
3.76;3.422177909
3.78;3.422177909
3.8;3.422177909
3.82;3.422177909
3.84;3.409955845
3.86;3.397733781
3.88;3.385511717
3.9;3.403844813
3.92;3.397733781
3.94;3.403844813
3.96;3.422177909
3.98;3.434399973
4;3.440511005
4.02;3.464955133
4.04;3.495510293
4.06;3.501621325
4.08;3.501621325
4.1;3.501621325
4.12;3.513843389
4.14;3.538287517
4.16;3.513843389
4.18;3.513843389
4.2;3.489399261
4.22;3.471066165
4.24;3.471066165
4.26;3.464955133
4.28;3.477177197
4.3;3.458844101
4.32;3.452733069
4.34;3.446622037
4.36;3.428288941
4.38;3.422177909
4.4;3.403844813
4.42;3.422177909
4.44;3.428288941
4.46;3.422177909
4.48;3.428288941
4.5;3.434399973
4.52;3.446622037
4.54;3.452733069
4.56;3.452733069
4.58;3.458844101
4.6;3.471066165
4.62;3.477177197
4.64;3.477177197
4.66;3.464955133
4.68;3.464955133
4.7;3.452733069
4.72;3.458844101
4.74;3.471066165
4.76;3.477177197
4.78;3.471066165
4.8;3.452733069
4.82;3.477177197
4.84;3.489399261
4.86;3.489399261
4.88;3.464955133
4.9;3.434399973
4.92;3.422177909
4.94;3.409955845
4.96;3.403844813
4.98;3.397733781
5;3.409955845
