jaar;soort;regio;prijs
1973;gewone woonhuizen;PROVINCIE ANTWERPEN;15066.6376389
1973;gewone woonhuizen;PROVINCIE VLAAMS-BRABANT;17107.1035032
1973;gewone woonhuizen;PROVINCIE WAALS-BRABANT;19086.0879541
1973;gewone woonhuizen;PROVINCIE WEST-VLAANDEREN;14752.3935422
1973;gewone woonhuizen;PROVINCIE OOST-VLAANDEREN;13589.7087975
1973;gewone woonhuizen;PROVINCIE HENEGOUWEN;11831.2226706
1973;gewone woonhuizen;PROVINCIE LUIK;12919.7866438
1973;gewone woonhuizen;PROVINCIE LIMBURG;13401.3943074
1973;gewone woonhuizen;PROVINCIE LUXEMBURG;12954.9530792
1973;gewone woonhuizen;PROVINCIE NAMEN;13583.292838
1973;villa's bungalows. landhuizen;PROVINCIE ANTWERPEN;56869.0283688
1973;villa's bungalows. landhuizen;PROVINCIE VLAAMS-BRABANT;57016.8222621
1973;villa's bungalows. landhuizen;PROVINCIE WAALS-BRABANT;58806.9371585
1973;villa's bungalows. landhuizen;PROVINCIE WEST-VLAANDEREN;42849.1482353
1973;villa's bungalows. landhuizen;PROVINCIE OOST-VLAANDEREN;47787.3485915
1973;villa's bungalows. landhuizen;PROVINCIE HENEGOUWEN;37146.8
1973;villa's bungalows. landhuizen;PROVINCIE LUIK;40595.2162162
1973;villa's bungalows. landhuizen;PROVINCIE LIMBURG;45295.05
1973;villa's bungalows. landhuizen;PROVINCIE LUXEMBURG;29699.44
1973;villa's bungalows. landhuizen;PROVINCIE NAMEN;34689.0310078
1973;appartementen. flats. studio's;PROVINCIE ANTWERPEN;20626.7240549
1973;appartementen. flats. studio's;PROVINCIE VLAAMS-BRABANT;15550.1448675
1973;appartementen. flats. studio's;PROVINCIE WAALS-BRABANT;24605.5182482
1973;appartementen. flats. studio's;PROVINCIE WEST-VLAANDEREN;19111.0543622
1973;appartementen. flats. studio's;PROVINCIE OOST-VLAANDEREN;21851.5814851
1973;appartementen. flats. studio's;PROVINCIE HENEGOUWEN;20571.9222874
1973;appartementen. flats. studio's;PROVINCIE LUIK;23221.8455715
1973;appartementen. flats. studio's;PROVINCIE LIMBURG;20728.0760369
1973;appartementen. flats. studio's;PROVINCIE LUXEMBURG;26271.5652174
1973;appartementen. flats. studio's;PROVINCIE NAMEN;25127.8717949
1973;bouwgronden;PROVINCIE ANTWERPEN;8.4185618
1973;bouwgronden;PROVINCIE VLAAMS-BRABANT;9.214676
1973;bouwgronden;PROVINCIE WAALS-BRABANT;8.0172177
1973;bouwgronden;PROVINCIE WEST-VLAANDEREN;8.924843
1973;bouwgronden;PROVINCIE OOST-VLAANDEREN;7.5975889
1973;bouwgronden;PROVINCIE HENEGOUWEN;5.4497942
1973;bouwgronden;PROVINCIE LUIK;5.8041939
1973;bouwgronden;PROVINCIE LIMBURG;4.7602503
1973;bouwgronden;PROVINCIE LUXEMBURG;4.1314386
1973;bouwgronden;PROVINCIE NAMEN;4.6370306
1974;gewone woonhuizen;PROVINCIE ANTWERPEN;17137.7552223
1974;gewone woonhuizen;PROVINCIE VLAAMS-BRABANT;20103.433881
1974;gewone woonhuizen;PROVINCIE WAALS-BRABANT;21962.1822139
1974;gewone woonhuizen;PROVINCIE WEST-VLAANDEREN;16551.246785
1974;gewone woonhuizen;PROVINCIE OOST-VLAANDEREN;15450.26817
1974;gewone woonhuizen;PROVINCIE HENEGOUWEN;13743.9302437
1974;gewone woonhuizen;PROVINCIE LUIK;15070.5311603
1974;gewone woonhuizen;PROVINCIE LIMBURG;14977.183611
1974;gewone woonhuizen;PROVINCIE LUXEMBURG;15295.3070116
