jaar;soort;regio;prijs
1973;gewone woonhuizen;BELGIE;14498.0838748
1974;gewone woonhuizen;BELGIE;16573.3374993
1975;gewone woonhuizen;BELGIE;18765.2934001
1976;gewone woonhuizen;BELGIE;23573.8307728
1977;gewone woonhuizen;BELGIE;28521.7533267
1978;gewone woonhuizen;BELGIE;32221.4411346
1979;gewone woonhuizen;BELGIE;35376.7513329
1980;gewone woonhuizen;BELGIE;35566.8113565
1981;gewone woonhuizen;BELGIE;33809.8448465
1982;gewone woonhuizen;BELGIE;32521.8217062
1983;gewone woonhuizen;BELGIE;32113.5749377
1984;gewone woonhuizen;BELGIE;32202.0534765
1985;gewone woonhuizen;BELGIE;32800.8441753
1986;gewone woonhuizen;BELGIE;34508.9032829
1987;gewone woonhuizen;BELGIE;35809.7635678
1988;gewone woonhuizen;BELGIE;38136.6564474
1989;gewone woonhuizen;BELGIE;42362.8242319
1990;gewone woonhuizen;BELGIE;45440.6644698
1991;gewone woonhuizen;BELGIE;48462.7994764
1992;gewone woonhuizen;BELGIE;52498.8952307
1993;gewone woonhuizen;BELGIE;56074.4910535
1994;gewone woonhuizen;BELGIE;60469.0350364
1995;gewone woonhuizen;BELGIE;62954.4378868
1996;gewone woonhuizen;BELGIE;65612.2536541
1997;gewone woonhuizen;BELGIE;67680.674597
1998;gewone woonhuizen;BELGIE;71799.0063497
1999;gewone woonhuizen;BELGIE;76831.7873696
2000;gewone woonhuizen;BELGIE;79660.6765438
2001;gewone woonhuizen;BELGIE;83617.6090119
2002;gewone woonhuizen;BELGIE;89642.2157391
2003;gewone woonhuizen;BELGIE;96181.2872863
2004;gewone woonhuizen;BELGIE;101354.8838691
2005;gewone woonhuizen;BELGIE;131955.4247204
2006;gewone woonhuizen;BELGIE;149436.1530026
2007;gewone woonhuizen;BELGIE;164150.7126899
2008;gewone woonhuizen;BELGIE;172678.0633166
2009;gewone woonhuizen;BELGIE;172277.3024525
2010;gewone woonhuizen;BELGIE;181014.8305938
2011;gewone woonhuizen;BELGIE;188396.1290536
2012;gewone woonhuizen;BELGIE;193555.240467
2013;gewone woonhuizen;BELGIE;197664.6735043
2014;gewone woonhuizen;BELGIE;200537.3862647
2015;gewone woonhuizen;BELGIE;204252.75044
2016;gewone woonhuizen;BELGIE;212703.2613377
2017;gewone woonhuizen;BELGIE;218703.6906953
