Kracht (N);Uitrekking (mm)
1.3836;-0.003
1381.933;-0.001
1382.4;0
1382.667;0.001
1384.467;0.002
1385.467;0.003
1388.8;0.004
1393.733;0.005
1398.067;0.006
1402.667;0.007
1416.333;0.008
1425.333;0.009
1434.333;0.01
1448.467;0.011
1455.933;0.012
1466.267;0.013
1473.4;0.014
1482.933;0.015
1491.533;0.016
1501.867;0.017
1516.733;0.018
1524;0.019
1532.467;0.021
1543.267;0.022
1553.6;0.023
1561.133;0.024
1569.267;0.025
1580.267;0.026
1590.733;0.027
1598.2;0.028
1605.4;0.029
1614.733;0.03
1622.867;0.031
1627.8;0.032
1632;0.033
1636.6;0.034
1640.067;0.035
1642.133;0.036
1644.2;0.037
1645.867;0.038
1648.133;0.039
1650.2;0.04
1651.6;0.042
1653.333;0.043
1656.067;0.044
1658.667;0.045
1660.533;0.046
1662.2;0.047
1665.4;0.048
1667;0.049
1669.533;0.05
1671.933;0.051
1675.267;0.052
1677.667;0.053
1679.6;0.054
1681.867;0.055
1683.933;0.056
1685.933;0.057
1687.733;0.058
1689.467;0.059
1691.267;0.061
1693.867;0.062
1695.867;0.063
1697.667;0.064
1699.333;0.065
1701.933;0.066
1704.267;0.067
1706.2;0.068
1708.533;0.069
1711.467;0.07
1713.467;0.071
1715.067;0.072
1716.6;0.073
1719.6;0.074
1721.733;0.075
1723.467;0.076
1725;0.077
1727.533;0.079
1729.733;0.08
1730.867;0.081
1732.2;0.082
1734.133;0.083
1736.667;0.084
1738.6;0.085
1741.4;0.086
1743.067;0.087
1746.4;0.088
1748.067;0.089
1749.467;0.09
1751.533;0.092
1753.8;0.093
1757.533;0.094
1759.533;0.095
1761.133;0.096
1764.067;0.097
1766.667;0.098
1767.667;0.099
1769.067;0.1
1771.8;0.101
1773.8;0.102
1775.8;0.103
1776.6;0.104
1779.133;0.106
1781.867;0.107
1783.8;0.108
1786.533;0.109
1789.467;0.11
1791.6;0.111
1793.4;0.112
1795.867;0.113
1798.6;0.114
1801.4;0.115
1804.333;0.116
1806.133;0.117
1807.867;0.119
1810.533;0.12
1813.8;0.121
1815.267;0.122
1816.067;0.123
1818.467;0.124
1820.933;0.125
1822.667;0.126
1825.6;0.127
1827.333;0.128
1830.8;0.129
1832.733;0.131
1835.067;0.132
1837.2;0.133
1840.6;0.134
1843.933;0.135
1846.2;0.136
1848.933;0.137
1850.933;0.138
1853.067;0.139
1855.333;0.14
1856.467;0.141
1859.8;0.142
1861.933;0.144
1863.8;0.145
1865.6;0.146
1868.467;0.147
1871.267;0.148
1873.733;0.149
1876.667;0.15
1880.4;0.151
1883.467;0.152
1885.333;0.153
1887.933;0.155
1891.467;0.156
1894;0.157
1895.667;0.158
1897.733;0.159
1900.6;0.16
1903.6;0.161
1906.067;0.162
1907.933;0.163
1910.267;0.164
1912.733;0.166
1915.067;0.167
1916.2;0.168
1919.067;0.169
1922.067;0.17
1924.133;0.171
1926.2;0.172
1929.4;0.173
1932.333;0.174
1934.6;0.175
1937.467;0.177
1940.6;0.178
1943.733;0.179
1946.067;0.18
1948.133;0.181
1949.933;0.182
1953.2;0.183
1956.067;0.184
1957.8;0.186
1960.133;0.187
1962.933;0.188
1965.933;0.189
1967.8;0.19
1970.4;0.191
1973.267;0.192
1974.933;0.193
1976.6;0.194
1979.4;0.195
1982.4;0.197
1984.267;0.198
1986.6;0.199
1988.8;0.2
1992.667;0.201
1995;0.202
1997.467;0.203
2000.067;0.204
2002.333;0.205
2004.867;0.207
2006.867;0.208
2009.133;0.209
2010.2;0.21
2013.933;0.211
2016.6;0.212
2018.133;0.213
2019.667;0.214
2023.533;0.215
2025.933;0.217
2027.733;0.218
2030.067;0.219
2032.267;0.22
2034.533;0.221
2036.733;0.222
2039;0.223
2042.2;0.224
2045.467;0.226
2048.2;0.227
2051.2;0.228
2053.533;0.229
2056.733;0.23
2059.4;0.231
2061.8;0.232
2064.067;0.233
2067.133;0.234
2069.933;0.236
2071.6;0.237
2073.8;0.238
2076.6;0.239
2080;0.24
2082;0.241
2084.867;0.242
2087.133;0.244
2089.8;0.245
2092.4;0.246
2094.067;0.247
2096.8;0.248
2100.2;0.249
2102.2;0.25
2105.333;0.251
2107.133;0.253
2110.2;0.254
2112.867;0.255
2114.867;0.256
2116.6;0.257
2118.8;0.258
2120.8;0.259
2123.133;0.261
2125.067;0.262
2128.267;0.263
2130.867;0.264
2132.2;0.265
2134.4;0.266
2137.667;0.267
2140.267;0.268
2143;0.27
2145.667;0.271
2147.6;0.272
2149.533;0.273
2151.6;0.274
2154.067;0.275
2157.133;0.276
2158.6;0.278
2161.067;0.279
2162.6;0.28
2164.8;0.281
2166.6;0.282
2167.933;0.283
2169.867;0.284
2173.267;0.285
2175.133;0.287
2176.333;0.288
2179;0.289
2181.2;0.29
2183.933;0.291
2185.267;0.292
2187.867;0.293
2190.4;0.294
2192.2;0.296
2194;0.297
2196.2;0.298
2199.4;0.299
2200.733;0.3
2202.467;0.301
2204.867;0.302
2206.8;0.304
2209.267;0.305
2210.733;0.306
2213.133;0.307
2215.933;0.308
2218.067;0.309
2220.267;0.31
2223.067;0.312
2225.8;0.313
2227.4;0.314
2229.667;0.315
2232.133;0.316
2234.067;0.317
2236.733;0.318
2238.933;0.32
2240.867;0.321
2242.667;0.322
2245.533;0.323
2247.4;0.324
2249.133;0.325
2250.333;0.327
2252.733;0.328
2255.2;0.329
2256.933;0.33
2258.067;0.331
2260.6;0.332
2262.667;0.333
2263.6;0.335
2265.067;0.336
2267.8;0.337
2269.867;0.338
2271.533;0.339
2272.467;0.34
2273.933;0.341
2275.267;0.343
2276.8;0.344
2278.267;0.345
2280.667;0.346
2283.067;0.347
2284.867;0.348
2286.4;0.349
2288.4;0.351
2290.4;0.352
2292;0.353
2294.2;0.354
2295.933;0.355
2298;0.356
2299.533;0.358
2301.733;0.359
2303.867;0.36
2305.8;0.361
2307.667;0.362
2309.2;0.363
2310.667;0.364
2313.067;0.366
2315.467;0.367
2317;0.368
2318.733;0.369
2321.133;0.37
2323.6;0.371
2324.867;0.373
2326.867;0.374
2330.333;0.375
2333.067;0.376
2334.867;0.377
2336.067;0.378
2338.067;0.379
2340.133;0.381
2341.933;0.382
2343.067;0.383
2345.533;0.384
2348.133;0.385
2349.333;0.387
2351.533;0.388
2353.133;0.389
2356.067;0.39
2358.267;0.391
2359.8;0.392
2361.133;0.393
2363.267;0.395
2365.867;0.396
2367.267;0.397
2368.933;0.398
2370.667;0.399
2372.867;0.4
2374.667;0.402
2375.4;0.403
2377.533;0.404
2379.333;0.405
2380.533;0.406
2381.467;0.407
2384.2;0.409
2385.667;0.41
2387.933;0.411
2389.533;0.412
2391.933;0.413
2393.933;0.414
2396;0.415
2397.667;0.417
2399.4;0.418
2401.4;0.419
2403.533;0.42
2405.733;0.421
2406.933;0.422
2408.8;0.424
2410.933;0.425
2413.667;0.426
2415.067;0.427
2416.133;0.428
2418.4;0.429
2419.933;0.431
2422.267;0.432
2425.733;0.433
2426.733;0.434
2428.267;0.435
2430.733;0.436
2433.133;0.438
2435;0.439
2436.933;0.44
2439.8;0.441
2441.733;0.442
2443.6;0.443
2445.267;0.445
2447.2;0.446
2448.467;0.447
2450.933;0.448
2452.933;0.449
2454.667;0.451
2456.533;0.452
2458.2;0.453
2460.2;0.454
2461.933;0.455
2463.4;0.456
2465.733;0.458
2467.467;0.459
2469.4;0.46
2472.2;0.461
2474;0.462
2476.6;0.463
2478.8;0.465
2479.2;0.466
2480.6;0.467
2482.8;0.468
2484.133;0.469
2486.4;0.47
2487.8;0.472
2489.133;0.473
2491;0.474
2492.6;0.475
2495.067;0.476
2497.4;0.477
2499.2;0.479
2501.333;0.48
2504;0.481
2505.267;0.482
2507.533;0.483
2509.933;0.485
2511.933;0.486
2513.6;0.487
2515.333;0.488
2517.8;0.489
2519.267;0.49
2521.533;0.492
2523.2;0.493
2524.667;0.494
2526.267;0.495
2529.467;0.496
2531.4;0.497
2533.067;0.499
2535.4;0.5
2538.267;0.501
2540.667;0.502
2541.733;0.503
2543.333;0.505
2546.267;0.506
2547.8;0.507
2548.467;0.508
2549.8;0.509
2552.2;0.51
2553.933;0.512
2554.933;0.513
2556.6;0.514
2558.733;0.515
2560.2;0.516
2561.4;0.517
2563.933;0.519
2566.467;0.52
2567.933;0.521
2569.667;0.522
2571.4;0.523
2573.8;0.525
2575.267;0.526
2577.267;0.527
2578.467;0.528
2580;0.529
2582.133;0.53
2584.2;0.532
2585.133;0.533
2587.8;0.534
2590;0.535
2591.533;0.536
2593.733;0.538
2595.267;0.539
2598.467;0.54
2600.667;0.541
2602.6;0.542
2604.067;0.544
2606.8;0.545
2609.267;0.546
2611.067;0.547
2613.4;0.548
2614.8;0.549
2616.733;0.551
