id;country;points;price;province;taster_name;
1;Portugal;87;15.0;Douro;Roger Voss;
2;US;87;14.0;Oregon;Paul Gregutt;
3;US;87;13.0;Michigan;Alexander Peartree;
4;US;87;65.0;Oregon;Paul Gregutt;
5;Spain;87;15.0;Northern Spain;Michael Schachner;
6;Italy;87;16.0;Sicily & Sardinia;Kerin O’Keefe;
7;France;87;24.0;Alsace;Roger Voss;
8;Germany;87;12.0;Rheinhessen;Anna Lee C. Iijima;
9;France;87;27.0;Alsace;Roger Voss;
10;US;87;19.0;California;Virginie Boone;
11;France;87;30.0;Alsace;Roger Voss;
12;US;87;34.0;California;Virginie Boone;
14;US;87;12.0;California;Matt Kettmann;
15;Germany;87;24.0;Mosel;Anna Lee C. Iijima;
16;Argentina;87;30.0;Other;Michael Schachner;
17;Argentina;87;13.0;Mendoza Province;Michael Schachner;
18;Spain;87;28.0;Northern Spain;Michael Schachner;
19;US;87;32.0;Virginia;Alexander Peartree;
20;US;87;23.0;Virginia;Alexander Peartree;
21;US;87;20.0;Oregon;Paul Gregutt;
22;Italy;87;19.0;Sicily & Sardinia;Kerin O’Keefe;
23;US;87;22.0;California;Matt Kettmann;
24;Italy;87;35.0;Sicily & Sardinia;Kerin O’Keefe;
25;US;87;69.0;California;Virginie Boone;
26;Italy;87;13.0;Sicily & Sardinia;Kerin O’Keefe;
27;Italy;87;10.0;Sicily & Sardinia;Kerin O’Keefe;
28;Italy;87;17.0;Sicily & Sardinia;Kerin O’Keefe;
29;US;86;16.0;California;Virginie Boone;
35;US;86;50.0;Oregon;Paul Gregutt;
36;Chile;86;15.0;Colchagua Valley;Michael Schachner;
41;US;86;22.0;Oregon;Paul Gregutt;
42;France;86;9.0;Beaujolais;Roger Voss;
44;Chile;86;9.0;Maule Valley;Michael Schachner;
49;France;86;14.0;Beaujolais;Roger Voss;
51;Chile;85;22.0;Colchagua Valley;Michael Schachner;
52;Italy;85;14.0;Sicily & Sardinia;;
53;France;85;15.0;Bordeaux;Roger Voss;
55;US;85;30.0;California;;
56;US;85;14.0;California;Virginie Boone;
57;Italy;85;13.0;Sicily & Sardinia;;
58;Chile;85;13.0;Maipo Valley;Michael Schachner;
59;US;86;55.0;Washington;Sean P. Sullivan;
60;US;86;100.0;California;Virginie Boone;
61;Italy;86;17.0;Central Italy;Kerin O’Keefe;
62;US;86;25.0;Washington;Sean P. Sullivan;
63;France;86;58.0;Champagne;Roger Voss;
64;US;86;26.0;California;Matt Kettmann;
65;France;86;24.0;Burgundy;Roger Voss;
66;France;86;15.0;Burgundy;Roger Voss;
67;US;86;46.0;Washington;Sean P. Sullivan;
68;US;86;12.0;California;Jim Gordon;
69;France;86;55.0;Champagne;Roger Voss;
70;US;86;12.0;Washington;Sean P. Sullivan;
71;US;86;40.0;California;Virginie Boone;
72;Italy;86;32.0;Southern Italy;Kerin O’Keefe;
73;US;86;75.0;California;Virginie Boone;
74;US;86;55.0;California;Virginie Boone;
75;US;86;75.0;California;Virginie Boone;
76;Germany;86;9.0;Rheinhessen;Anna Lee C. Iijima;
77;Australia;86;18.0;South Australia;Joe Czerwinski;
78;US;86;25.0;Oregon;Paul Gregutt;
