soort_grond;categorie;id_gemeente;gemeente;id_arrondissement;arrondissement;id_provincie;provincie;aantal_percelen;belastbare_oppervlakte_ha;niet_belastbare_oppervlakte;totale_opp_ha;belastbaar_kadastraal_inkomen;niet_belastbaar_kadastraal_inkomen;totaal_belastbaar_inkomen;
Akkerland;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;446;259.4923;12.8311;272.3234;12567;595;13162;
Grasland;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;265;161.3178;7.2585;168.5763;7257;280;7537;
Tuinen en parken;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;108;16.1026;3.6456;19.7482;1178;285;1463;
Boomgaarden;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0.1755;0.4605;0.636;8;23;31;
Bossen;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;36;14.5317;10.1018;24.6335;150;125;275;
Woeste gronden;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;47;0.9983;0.0091;1.0074;0;0;0;
Recreatieterreinen;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11;8.5383;1.6167;10.155;409;134;543;
Gekadastreerde wateren;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;11;1.2583;0.6115;1.8698;35;19;54;
Gekadastreerde wegenis;Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;115;9.1959;3.9908;13.1867;261;121;382;
Andere (onbebouwde percelen);Onbebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;553;38.4307;3.1388;41.5695;23502;212;23714;
Appartementen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3190;34.5686;0;34.5686;1708902;44422;1753324;
Buildings;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;36;1.814;0;1.814;144632;0;144632;
Huizen en hoeven;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4227;238.6902;0.2961;238.9863;6031027;1687;6032714;
Bijgebouwen met inbegrip van serres;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;158;17.073;0;17.073;65509;0;65509;
Ambachts- en industriegebouwen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;71;40.7531;0.7171;41.4702;1415988;424365;1840353;
Opslagruimten;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;184;75.3623;0.2788;75.6411;2291272;74226;2365498;
Kantoorgebouwen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;33;9.086;0;9.086;530903;760;531663;
Gebouwen met handelsbestemming;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;149;20.6509;0;20.6509;805128;0;805128;
Openbare gebouwen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;3;0.1316;0.4099;0.5415;5706;22094;27800;
Gebouwen voor nutsvoorzieningen;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;48;0.7977;0.4185;1.2162;28959;301082;330041;
Gebouwen voor sociale zorg en ziekenzorg;Bebouwde percelen;11001;Aartselaar;11000;Arrondissement Antwerpen;10000;Provincie Antwerpen;4;2.8413;0.319;3.1603;118118;22463;140581;
